labelIds,snippet,sizeEstimate,internalDate,subject,body
UNREAD IMPORTANT TRASH CATEGORY_PERSONAL,"Dear Om Surushe, Greetings from Team OTCON!!! Due to large number of submissions, we can not process all the technical papers for further oral presentations and IEEE Xplore proceedings. Here we are",4445,2023-01-10 14:56:23.000,OTCON-23: Regarding Your Paper ID 1145,"Dear Om Surushe,
Greetings from Team OTCON!!!

Due to large number of submissions, we can not process all the technical papers for further oral presentations and IEEE Xplore proceedings. Here we are informing you that You can submit your paper to any other conference. Thank you for your participation as an author. 


Regards,
Team OTCON
"
UNREAD IMPORTANT CATEGORY_FORUMS INBOX,"Dear Students, Students are required to upload an image of themselves for their student I-cards &amp; mark sheet. Please note that your student ID card &amp; Mark sheet will be delayed if your uploaded",21433,2023-01-23 11:48:31.000,Important Instruction regarding the Photographs for I-Cards and Marksheets,"Dear Students,

Students are required to upload an image of themselves for their student
I-cards & mark sheet.

Please note that your student ID card & Mark sheet will be delayed if your
uploaded photo does not meet the criteria set out in this document.

*Photo Guidelines*

You must submit a recent photograph (not older than 6 months). Failure to
upload a suitable photograph may result in payment of a fine for the issue
of your student ID card & Marks sheet. Poor quality and inappropriate
photos will not be printed.

The quality of your printed photos

*Your photo must be:*

•            clear and in focus

•            in colour

•            unaltered by computer software

What your printed photos must show

*Your photos must:*

•            be a close-up of your full head and upper shoulders

•            contain no other objects or people

•            be taken against a plain cream or light grey background

•            be in clear contrast to the background

•            not have ‘red eye’

*In your photo, you must:*

•            be facing forwards and looking straight at the camera

•            have a plain expression and your mouth closed

•            have your eyes open and visible

•            not have hair in front of your eyes

•            not have a head covering (unless it’s for religious or medical
reasons)

•            no hats or sunglasses

•            not have anything covering your face

•            not have any shadows on your face or behind you

•            The photo should be a colour, JPEG file

*-- *


*Thanking You,With regards,*

*Students' Section*
V*ishwakarma Institute of Technology,* Pune-37
*Phone - 020 - 24202252*
"
STARRED CATEGORY_UPDATES INBOX,"Ref No. 5763317B4S22814 Dear Surushe, You have successfully submitted your application for HDFC Bank Parivartan&#39;s ECS Scholarship for Undergraduation Programme (Merit-cum-Need Based) 2022-23 with",13195,2022-10-14 15:41:12.000,Application Submit,
CATEGORY_UPDATES INBOX,"Student Purchase Program We are pleased to welcome Students, Staff, and Faculty of VIT to the Engineering Student Purchase Program. This innovative platform enables you to buy products directly from",36648,2021-06-16 15:57:36.000,=?utf-8?Q?VIT=20is=20welcomed=20to=20Engineering=20SPP?=,"Student Purchase Program

https://eng.studentpurchaseprogram.com?utm_source=ZRPL&utm_campaign=2b2cad0f38-EMAIL_CAMPAIGN_5_14_2021_16_34_COPY_01&utm_medium=email&utm_term=0_14b04b6233-2b2cad0f38-527215138
We are pleased to welcome Students, Staff, and Faculty of VIT to the Engineering Student Purchase Program. This innovative platform enables you to buy products directly from some of India's Top brands.

The SPP platform redirects your orders to the respective brand, who will deliver your product directly to your home, without any intermediaries. This ensures that you get the freshest products, at the best prices!!

Choose from a range of Lenovo laptops, HP printers, iFrogz audio, Catz mobile accessories, RoadGods backpacks and a large range of Gift Cards, amongst other things. Rest assured that you are buying directly from 'The Source', and at the best prices.

You will need your VIT email ID to be able to access the site.....

Check out SPP (http://eng.studentpurchaseprogram.com?utm_source=ZRPL&utm_campaign=2b2cad0f38-EMAIL_CAMPAIGN_5_14_2021_16_34_COPY_01&utm_medium=email&utm_term=0_14b04b6233-2b2cad0f38-527215138)

============================================================
Copyright © 2021 Zeitgeist Retail Pvt. Ltd., All rights reserved.

Want to change how you receive these emails?
You can ** update your preferences (https://zrpl.us1.list-manage.com/profile?u=ac9b6b92de06a9703291c474d&id=14b04b6233&e=ef09d57884&c=2b2cad0f38)
or ** unsubscribe from this list (https://zrpl.us1.list-manage.com/unsubscribe?u=ac9b6b92de06a9703291c474d&id=14b04b6233&e=ef09d57884&c=2b2cad0f38)
."
UNREAD IMPORTANT CATEGORY_FORUMS,*|MC_PREVIEW_TEXT|* Recruitment for Coordinator Position Hello Fellow VITians!!! YUJ are excited and eager to announce the recruiting process for the Coordinator position. We are recurring for Cultural,54958,2023-01-03 16:12:51.000,YUJ is Recruiting!!,"*|MC:SUBJECT|* *|MC_PREVIEW_TEXT|*

*Recruitment for Coordinator Position
<https://forms.gle/e1WieZKLUQ6Ye8it9> *
*Hello Fellow VITians!!!*

*YUJ are excited and eager to announce the recruiting process for the
Coordinator position. We are recurring for Cultural and Technical domains. *


*We are recurring for following positions *

*Cultural Domains:*
Diet and Nutritionist
Yoga Philosopher and practitioner
Physical Activity

*Technical Domain:*
Web development
App development
Technical workshop Organizers

*Organizing Team: *
Multimedia
Finance and Sponsorship
Research and Content
Club Representative
Outreach

*Please fill the form and join our community and enhance and showcase your
skills!!*
<https://forms.gle/e1WieZKLUQ6Ye8it9>
Register <https://forms.gle/e1WieZKLUQ6Ye8it9>
*Follow us:*
Insta profile - https://www.instagram.com/yuj_vitclub/
<https://www.instagram.com/_yuj_vitclub_/>
LinkedIn profile - https://www.linkedin.com/company/yujvitpune/
[image: Facebook] <https://www.facebook.com/profile.php?id=100085270245191>
Facebook <https://www.facebook.com/profile.php?id=100085270245191>
[image: Instagram] <https://www.instagram.com/yuj_vitclub/>
Instagram <https://www.instagram.com/yuj_vitclub/>
[image: WhatsApp] <https://chat.whatsapp.com/H7bBWVLEWWK3W8KrsiacTK>
WhatsApp <https://chat.whatsapp.com/H7bBWVLEWWK3W8KrsiacTK>
[image: Email] <yuj@vit.edu>
Email <yuj@vit.edu>
[image: YouTube] <https://www.youtube.com/channel/UCEi3rdsbJAeaYgjFKZZRbnw>
YouTube <https://www.youtube.com/channel/UCEi3rdsbJAeaYgjFKZZRbnw>
[image: LinkedIn] <https://www.linkedin.com/company/yujvitpune/>
LinkedIn <https://www.linkedin.com/company/yujvitpune/>
*Copyright © 2022 YUJ, All rights reserved.*

*Our mailing address is:*
yuj@vit.edu
"
UNREAD IMPORTANT TRASH CATEGORY_UPDATES,"We need to beat attacks every time, but a hacker needs to win only once. We all know that WordPress security is critical to protect your website, data, and visitors, along with your business, brand and",17193,2022-12-30 17:55:58.000,"250,000+ sites trust MalCare to protect them from hackers",
IMPORTANT CATEGORY_UPDATES INBOX,"---------- Forwarded message --------- From: Komal . &lt;komal@ybifoundation.org&gt; Date: Thu, 1 Sep, 2022, 10:37 am Subject: Online Certificate Course plus Internship Program on Artificial",45231,2022-09-01 11:27:43.000,"Online Certificate Course plus Internship Program on Artificial
 Intelligence and Machine Learning","---------- Forwarded message ---------
From: Komal . <komal@ybifoundation.org>
Date: Thu, 1 Sep, 2022, 10:37 am
Subject: Online Certificate Course plus Internship Program on Artificial
Intelligence and Machine Learning
To:
Cc: YBI Foundation <alokyadav@ybifoundation.org>




­
<https://ejcdfff.r.af.d.sendibt2.com/tr/cl/UEPNJ5SgvCJJ-11sBgqPggPrznZMevyh-X2ncCcM3Xyf3_oOLmmUojse5DLsonHaWXgfgwQRQjCKjddFvDOm9hcNXzrT5w0yuCiUmMoFmLQLBmlCnHdVyjcfn1yApWWOYO4WksJmDyuNEAisIRYDwy-QuU6CCBrj41tFdZfIBvkHlTrk44G4bEvqlgB0RvT0qTVYpWV9xeRvGZWcIfHcgBB8LZmW4uxWFU13xRKl2F83U6J8FypmiRKvmcZaQOpyZrhbD1bstOPLTWsQAvPfRc0dAfO-HjQyaPm-7dOdYPj7BIt91J1Li3IUBzvTnsdCz8tTN5Wg_Gt5VaQA3a8QX8pLVTtnaR6FM_mdhA>
­

­
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
­

*ENROLL NOW!*
<https://ybifoundation.org/link/smLS3s?url=https%3A%2F%2Fybifoundation.org%2Fcourse%2Fmachine-learning>
­

*We request you to broadcast this mail to other students of all branches
and  academic years to explore and apply for this 15 days online course
plus Internship in AI ML and earn a FREE certificate.*



*For any further assistance please feel free to call or whatsapp us at  *

*+(91) 966 798 7711 or mail us at support@ybifoundation.org
<support@ybifoundation.org> *
­
­
­ ­ ­
­
­ ­
<https://ejcdfff.r.af.d.sendibt2.com/tr/cl/0I5-vA9fsivuaZCh4wbnscMnWctadlrSLYSzBjWEnO7LRgEfYPd_yfNeVFpuJEIFXYs_PFukNR76Mbj03nXIMVdm3ih2C2pNc_bpXWFqqko-9yhfO_zVjUzVD4LtCAYuSMm2K0TC560fElsK6_pt9iwa7y9HRwqgetdxHpv-H-Uh66cpGV2FXNMjQKou8BiP25R9x__KNRw3smb5js32AMR3Shlg_nL9vpq5RIe8SDpo2fmZxsdI5jVGG03SXlk-REsynEr9SPpRaWE1IGBF1NMfMHpygZ4UeJLRYOvn4c82OvHvYOgUKFHgj36m0RXwsi4Fkg>
­

­ ­
­ ­
<https://ejcdfff.r.af.d.sendibt2.com/tr/cl/EiNoxh2HgVjMdCiYnmim5y37zxBRhowq6-nWdQDQ5miFlFvxJcTzYrfBJdzUxWjYuGCglsPe4Xei4bJiKc44bJfiVfax1XA6YAzFUoeqdswzZ44J2Dcbcl8IVIYxsBpxQt27MgCTjKx1Jy15CSKkrdKlLXmbMf8PBNhPk2gIvSkGYletPR5577eds6QVrAwMlkZXTcXuk6SaZ_HgJfojAkT-Vnwto-J1MGUGzueDjT6MHE0oL-2Zj9vPu9M_yV-NUgFrL2nPft7foRgmPUsSh6XdHe-EARCfqjkHxs5gNqlOliYDFlCJ-QEyiAINmaP353R0CVvBL5JmhtSk7JQAE_cMwnqCnfIyhWG7t6ygjJTsPKFuCAAyr3WVr3muRlopuGi9BZ-vudJqFnvZ-rnfnDtgIZ7_cQhKg86hSQ>
­

­ ­
­ ­
<https://ejcdfff.r.af.d.sendibt2.com/tr/cl/GVfJbWM5Tli3czZcioNgjP7lr0XDMEuTplW0Kmwxt1CxLT6hkRAvh0tywRzQr7d5obdf_Y5KqtymNInM8fEldeU3ZnvgDhkiITpHzA9d2S6UjuKzDh7dplkoVoNbCC4UXv0lki9JtRr9wGEr411FvuBQiFNmHB_hxc-vNGrly8sGzAe8BSoW6e0-C9oaXohv1yLeoIe2ygrYoQSZT2nidCj0EcGxApllaXBh9hZdYVjL45Y-UKOe-Dqtp-5owLPCS9vF4ryno5IZW1uPSJdUrHcsUu6AV86BMD5F89cNm7zuqZ96ph88QIgsZgQGtvjiwrA_6O7aG-pcosFhNVJ5CovZ0wUuH07ZaWs>
­

­ ­
­ ­
<https://ejcdfff.r.af.d.sendibt2.com/tr/cl/9ToDeSwkNP897YWJ4-VhBiYF-e3CPEVVm3evApZVUjaB2omvNHoKnbEdzjMAiUR0-MPMNw4_w68lERlAO1IOgRTH4Xdc9DYNuqYVq1zBkrNBTInBi30GkJ83WFdMl-0lKIZZ0aLEaFMRKwauLBI3Ns18m0m7Guh1x4pNgBu0Js8_7xynICXiIm1H6RgmbNKY7rykJoZehtHaP05CVwGI-r3FH8UkOh8TOVL5VkhKLtaAqQ7VyGPNiXRKIVBjTS33dsWD8fZfav14YKJLT3MbjXaI-GU3_847Lbvpp1XRVcM5MqySzwUkG5PNSdBL4RFrwGxUKj8gnFxKJkCiknWmEQx20mA9N1ckVlAiL5E0aLJZxUgiVYRe29A4EuAzc1bwCZfma_a10yk87RE>
­

­ ­ ­
­ ­ ­ ­
­

YBI Foundation

Section 8 (Not for Profit) company working in the field of Education, Skill
Development, Women Empowerment, Research and Consultancy.
­

Disclaimer: The content of this email including any accompanying
attachments is confidential and is intended solely for the addressee(s). If
you have erroneously received this message, please delete it and notify the
sender. Also, if you are not the intended recipient, you are hereby
notified that any disclosure, copying or distribution of this message or
any accompanying document is strictly prohibited and is unlawful. This
email does not tantamount to spamming. You are advised to contact us for
clarifying any questions that you may have with regards to any information
contained in this communication. We are not responsible for any damage
caused by a virus or alteration of the e-mail by a third party or otherwise.
"
IMPORTANT CATEGORY_FORUMS INBOX,"Dear Student, Please find below link to upload answer sheets. Use your official email address only (@vit.edu). https://drive.google.com/drive/folders/1bOw9tzdo66RJgw3RPEA2GpQPfWUzguKM?usp=sharing -- Dr",11341,2021-04-27 18:16:49.000,Class Test II_ Folder Link for uploading answer sheets,"Dear Student,
Please find below link to upload answer sheets. *Use your official email
address only  (@vit.edu <http://vit.edu>).*
https://drive.google.com/drive/folders/1bOw9tzdo66RJgw3RPEA2GpQPfWUzguKM?usp=sharing
-- 
Dr. R. S. Deshpande
Assist. Prof.
Vishwakarma Institute of Technology, Pune
"
TRASH CATEGORY_UPDATES,"JOB-A-THON (India&#39;s Largest Data Science Hiring Event) 100+ Job Openings are waiting for you! All data science enthusiasts, freshers, and professionals get the opportunity to showcase their skills",41066,2023-01-05 14:02:02.000,"Clix Capital, Symphony AI, and Holcim are Hiring| Register Now....","#

[[""Analytics Vidhya""]]

#

JOB-A-THON
(India's Largest Data Science Hiring Event)
100+ Job Openings are waiting for you!

#

All data science enthusiasts, freshers, and professionals get the opportunity to showcase their skills and get a chance to interview with top companies for leading job roles in data science, machine learning & analytics.

DATE: 20th - 22nd January 2023

#

[Register Now](https://datahack.analyticsvidhya.com/contest/job-a-thon-january-2023/?utm_source=sendinblue&utm_medium=email&utm_campaign=JobathonAwarenessJobathon_Segment_Part302-Jan-2023registrations&utm_content=registrations)

#

Companies Participating

#

https://datahack.analyticsvidhya.com/contest/job-a-thon-january-2023/?utm_source=sendinblue&utm_medium=email&utm_campaign=JobathonAwarenessJobathon_Segment_Part302-Jan-2023registrations&utm_content=registrations

#

and many more will be coming soon...

#

[JOB-A-THON Alumni](https://datahack.analyticsvidhya.com/contest/job-a-thon-january-2023/?utm_source=sendinblue&utm_medium=email&utm_campaign=JobathonAwarenessJobathon_Segment_Part302-Jan-2023registrations&utm_content=registrations)

#

Who got placed in top companies via JOB-A-THON.

#

“When any other companies were asking for experienced candidate JOB-A-THON let me showcase my skills and helped me to land my dream job” – Ankush Saha!

#

All the best!
Team Analytics Vidhya

#

© 2022 Analytics Vidhya

"
IMPORTANT CATEGORY_FORUMS INBOX,"https://cscita.sfit.ac.in/index.php Last date of submission: 31/12/2022 Thank You and Regards, Prof. Pankaj Kunekar Assistant Professor Department of IT Department of AI &amp; DS Vishwakarma Institute",12712,2022-12-13 14:05:35.000,IEEE Conference,"https://cscita.sfit.ac.in/index.php

Last date of submission: 31/12/2022


*Thank You and Regards,*
*Prof. Pankaj Kunekar*
*Assistant Professor*

*Department of IT*
*Department of AI & DS*
*Vishwakarma Institute of Technology, Pune*
*Contact: 8237626369, 9075879342*
"
CHAT,"+KULKARNI SUSHRUT, +Surushe Om",100,2022-11-21 00:55:50.954,,"+KULKARNI SUSHRUT, +Surushe Om"
IMPORTANT CATEGORY_UPDATES INBOX,"www.myamcat.com Dear Om Pravin Surushe, Congratulations on successfully taking AMCAT-India´s largest employability test. Tens of thousands of them secure their dream jobs each year through AMCAT. Your",14905,2021-04-19 10:21:10.000,Aspiring Minds - View AMCAT Report,"Dear Om Pravin Surushe,

        
        
        Congratulations on successfully taking AMCAT-India´s largest employability test. Tens of thousands of them secure their dream jobs each year through AMCAT.
        Your dream job is now only a few steps away:
        
        
    
       
        Link your Facebook account
         
        Download Feedback Report
         
        Prepare for interviews
         
        Your Dream Job
        
    
    
    
        
    
    
        
        myAMCAT.com provides you a host of services to prepare you for your upcoming placements. Our comprehensive resume guide,  placement tips, and career advice will help you secure your dream job.  Link  your Facebook to account to speed up your job search.
    
    
    
        Some exclusive features for you:
        
        Seven Stroke Feedback: A detailed seven page feedback report about your performance on various areas, tips to improve, and employability in various sectors is ready. Login to download your report.
        Free Public Profile: Now you can build your resume online and put up a complete public profile. The portal will allow you to share the public profile with companies in a professional manner.
       	
    
    
        
        
        Do not forget to study your detailed feedback report.Your feedback report tells you the areas in which you need to improve in order to succeed in the career of your choice. 
		Continue to work hard and we will try our best to find a job matching your profile. Our corporate client list is continuously growing with several of the largest companies across India currently hiring through AMCAT.
     
        
        Warm Regards 
        myAMCAT.com Buddy 
        
             
    
    
    
                    
                Recent Interview Events
                
                
                    		
                    
                        Brickwork India hired AMCAT assessed candidates (2014 batch) for Client Servicing profile in a drive at Bangalore
                    
                    		
                    
                        Ways2Capital offered over 16 AMCAT assessed candidates (2014 batch) for Business Analyst profile for Indore location
                    
                    		
                    
                        Quantum Page hired AMCAT assessed candidates (2014 batch) for Technical Editor profile in a campus drive at Ghaziabad
                    
                                    	
                
            
                        
        
            
                Your Login Details
            
            
                AMCAT ID
                349190019159562
            
            
                URL	
                http://www.myamcat.com
            
            
            
                Login ID	
                om.surushe20@vit.edu
            
                        

        
        
        
            Link Facebook
            Login Now

"
CATEGORY_UPDATES INBOX,Studustry is giving you an opportunity to upgrade your professional profiles by asking questions to similar minded students and industry professionals! Don&#39;t wait.. join us today! Hello Thank you,62782,2021-06-23 12:03:18.000,Come join Studustry's project based learning community for free!,"Studustry is giving you an opportunity to upgrade your professional profiles by asking questions to similar minded students and industry professionals! Don't wait.. join us today!

Hello 

Thank you for showing interest in for *Studustry!*

*As a part of rewarding people who have supported us during our initial phases, we are opening up the Studustry community specially for you.*

The Studustry community has a special channel on Discord ( https://discord.com/ ) which has students from all sectors participating in discussions with themselves and industry professionals who are willing to mentor young students. We also have faculty members as a part of this community!

Students can ask questions about their projects, internships and any other thing that builds their professional profiles and get them answered by other students or industry professionals!

Studustry team will also be posting all the project opportunities on Discord first! *And the best part?? It's absolutely free!*

As you all might already know, universities are now making project based learning a mandatory part of the curriculum and what better way to make yourself future-proof than joining a community about project based learning!

So, what are you waiting for! Click on the button below and join the Studustry community !

Join Studustry Discord Channel ( https://discord.gg/3HdxwDJ8 )

Studustry is a startup based in Pune & Aurangabad bringing the concept of project based learning to colleges in India. Look for our LinkedIn page to learn more about us.
Join the only project based learning community of India today by getting in touch with us.
Use this link if you would like to discuss anything in particular by directly chatting with us.

( https://www.facebook.com/studustry/ ) ( https://twitter.com/studustry?lang=en ) ( https://www.instagram.com/studustry/?hl=en ) ( https://www.linkedin.com/company/studustry/ )

Venugopal

Paithan Road Itkheda , Aurangabad ,  431001

Unsubscribe ( http://url4692.studustry.com/asm/unsubscribe/?user_id=18854668&data=VDtXPhqQKmNzfjX7ema2Th18c5POT0hKt15OXtmb0MkQHdrUcQwBGOpHYgIVdRPsOMS3do7Nv92zKGcc-VKWqY4VsDqD3P6tXR5z8VmGVJMtUqzt9g-SpyViODpnOG82gu-XqcVt87312xPa3mUOgh1ys3BAAfg-8raxIXC6kRi56Sb-O_kLRbc1wC2VezF8WOJDgGx2RMO-6AlZs5uW3BC5mA-e6lTNL8ilshFPWpTdj6MYbA-tf1tKXdktj88_9mTbMfib91GHO9DF6MzzcYEKAA5M1T6v52vzJ-i8wgs5Ad5KCab3fUtZLLsxHMqBuV-O_uTIhRGJ-Mvx-4X7sjf5B7eKeAMU50FSoQWGVUTgG8KIq3G9HUZFzK9NUyeuBKLbGB74wifeV8muHSVi8f85bdN-WoKgzfhNMLBX4bqBP7cYhGxMGYRTAYAt0aZ4EHqVAp-k4KpqHMYVu95tPzjCzdCF_wvR1DcDUcrnJea-VV6PL3byuAWPQh9JirtSfiF5pmkyygLoKYpFH4NID-0DQNHcJFliiTWB41VlfwBtW1kkk-g4wMACB_9Ph2Wt2jZsuCdawKSuRBSbAIylln5hzVyh3t-IkwBEFzBaT47RwIIc3b1xuOnlPwrjDWmpNIPsC69WABo6pDEZZ8YsbgBVq_DOGqzHtCghJaRe2A3mqxZ_cgcne1TP1hl2YlWMm865kmpfoOoke3T49ZK85ZjSv54N9-xcXHUSi9O0DmNKXPGZF9P9-HWP_pbC8PdHRpjgFsGSADuaJpfxwOe1A-B1cuh_vjl4AQJ-I86wVznJe3tFH2s1s_QBGoqprVdKQ48INCsHFL7torPZSQhEKPZoBNh14g-sWTnMUakO6nTD8D3g9OLVDpslDvG0NGTPgELI_eCwMC477651boviWFAYKvVIxHaX9NNtQ3eGT4upNg_NuGDOnGNptT11uyRY25KbXSk6v8FNCkaQHTrEQD5Yjmfd1lUr5JRJEMrek8zbe2197hu1QnTU_59Y4Kqqt8T--M9bavTZ6fvzcV7O5g8yUDo4WWC9XNjJFzCcDgWQVPw5uHgoVR6GH8EdVmVhuuddh_N2zJS7hdagzDLhUggTUBTyI1M55zsmS9y_19ZYDtZ5Xb0YtTwcTiBrDtLRsH7v9gaDuKh59x7RT5oucc4YB6oY-Lup61J6jEYCbF8= )"
UNREAD TRASH CATEGORY_UPDATES,"Hi Om, Here&#39;s your chance to join Intel as a Software Engineering Intern! Stipend: INR 30000/month (via glassdoor) Application Link: https://unstop.com/internship/software-engineering-internship-",9295,2022-12-29 16:04:05.000,"Intel is hiring Software Engineering Interns @ INR 30,000/month!","<!DOCTYPE html>
<html>
<head>
</head>
<body>
<p><span style=""font-weight: 400;"">Hi Om,</span></p>
<p>Here's your chance to join <strong>Intel </strong>as a <strong>Software Engineering Intern!</strong></p>
<p><strong>Stipend: </strong>INR 30,000/month (via glassdoor)</p>
<p><strong>Application Link:</strong> <a href=""https://unstop.com/internship/software-engineering-internship-intel-576057"">https://unstop.com/internship/software-engineering-internship-intel-576057</a></p>
<p>You must have effective communication skills (both verbal and written), experience, and education requirements will vary significantly depending on the unique needs of the tasks assigned and should be available for a full-time internship (work-from-home).</p>
<p>Apply now to join one of the&nbsp;<strong>Fortune 500</strong>&nbsp;companies!</p>
<p><span style=""font-weight: 400;"">For more details, </span><a href=""https://unstop.com/internship/software-engineering-internship-intel-576057""><span style=""font-weight: 400;"">click here.</span></a><br /><br /><span style=""font-weight: 400;"">Regards,<br /></span><span style=""font-weight: 400;"">Team Unstop</span></p>
</body>
</html>
<p style=""text-align: center;""><a href=""https://unstop.com/newsletter-unsubscribe/b20uc3VydXNoZTIwQHZpdC5lZHU=""  style=""font-size: 8px;"">Unsubscribe here</a></p>
"
IMPORTANT CATEGORY_FORUMS INBOX,"Dear Students, Please do registration for ANSYS Internship for 2024 batch *** READ BOTH ATTACHMENTS CAREFULLY *** Deadline is Tomorrow, 17th Nov. 2022 , 04.00 pm Please Note : This drive is FOR VIT",1121550,2022-11-16 14:16:32.000,Registration of ANSYS Internship for 2024 batch,
IMPORTANT CATEGORY_FORUMS INBOX,Vishwa Shauryam Secretariat Applications Out! &quot;A successful leader is one who steps up during bad times and stays away from the limelight during the good ones.&quot; Greetings from Team Vishwa,34823,2022-12-04 12:33:23.000,Vishwa Shauryam: Secretariat Application Forms Out !!!,"*Vishwa Shauryam Secretariat Applications Out!*

*""A successful leader is one who steps up during bad times and stays away
from the limelight during the good ones.""*



*Greetings from Team Vishwa Shauryam!*

Vishwa-Shauryam is here with an exclusive opportunity to amplify your
leadership skills as a part of our Secretariat. Let’s begin with this
journey full of glory and fortes. We are recruiting for the roles of
Attaché and Secretary in all of our concerned domains.



We will be recruiting for the following positions:

   - Creative Art Attaché
   - Finance Attaché
   - Database Secretary
   - Function Execution Secretary
   - Out-House Secretary
   - Relations Secretary
   - Research Secretary

*Note:*

   - Application for the Secretariat closes on Sunday 11th December, 2022.
   - Responses from the vit.edu mail id only will be considered for the
   further interview process.
   - You can only apply for a maximum of two positions.
   - Candidates shortlisted for the interviews will be informed shortly.

*Jai Hind !!!*
*Apply Now !!* <https://forms.gle/Yiqc4WfWpNL3cKTx9>

Regards,

Team

Vishwa Shauryam

*Get in Touch:*
[image: Instagram] <https://www.instagram.com/vishwa_shauryam/>
[image: Telegram] <https://t.me/vishwashauryamvitpune>
[image: YouTube]
<https://www.youtube.com/channel/UCk6bYB_su04vDH93p1bMMlg/featured>
[image: LinkedIn]
<https://www.linkedin.com/company/vishwa-shauryam-vit-pune/>

*Copyrights © 2022 Vishwa Shauryam, All rights reserved.*
"
IMPORTANT CATEGORY_FORUMS INBOX,"Dear Student, Find attached ppts for the topic differential equations -- Dr. RS Deshpande Assist. Prof. Vishwakarma Institute of Technology, Pune",5482017,2021-04-25 20:52:04.000,Study Material_EM,"Dear Student,
Find attached ppts for the topic differential equations
-- 
Dr. R. S. Deshpande
Assist. Prof.
Vishwakarma Institute of Technology, Pune
"
IMPORTANT CATEGORY_FORUMS INBOX,Dear Students.... Hope you all are doing well..... Course project(Statistical Inference)Review1 is scheduled from 19/9/2022 to 23/9/2022 during scheduled tutorials according to the time table. Note: 1.,12033,2022-09-16 17:17:22.000,Regarding Review of Course project,"Dear Students....

Hope you all are doing well.....

Course project(Statistical Inference)Review1 is scheduled from 19/9/2022 to
23/9/2022 during scheduled tutorials according to the time table.

Note:
1.Presentation with following contents is mandatory..1.Problem Statement.2.
Literature Review.3.Methodology.4.Expected Outcome.
2.All batches should present if anyone fails their marks for review1 will
considered as zero.

Regards
prof.Zarina K M
"
IMPORTANT CATEGORY_FORUMS INBOX,"Dear Students, Please do registration of Cadence for CS, IT Internship + PPO for 2024 batch. READ THE ATTACHMENT CAREFULLY. Deadline is Tomorrow, 19th Jan. 2023 , 10.00 am Wrong / incomplete Entries",147797,2023-01-18 17:52:52.000,"Registration of Cadence for CS,IT Internship + PPO for 2024 batch",
IMPORTANT CATEGORY_UPDATES INBOX,"Hello there ! Following are the Resources for the Day 3 of WEB Boot-camp organised by DSC VIT Pune. On 24 April, the session will commence at 3:00pm. Please ensure you join us through the same link on",3835843,2021-04-19 02:57:22.000,DSC Study Material - Web Bootcamp (Day 3),"Hello there !

Following are the *Resources for the Day 3* of WEB Boot-camp organised by
DSC VIT Pune.

On 24 April, the session will commence at 3:00pm.
 Please ensure you join us through the same link on that Day.


-- 
Regards
DSC Team
Vishwakarma Institute of Technology,
Bibwewadi, Pune, Maharashtra, India
"
IMPORTANT CATEGORY_FORUMS INBOX,"Dear all, All students and concerned faculty are informed to attend an important meeting. It&#39;s mandatory to all. offline meet for SY and TY engineering classes: Venue Room no. 1301 Timing 10:30am",13061,2022-06-02 18:13:02.000,IMP: Semester End meeting,"Dear all,
All students and concerned faculty are informed to attend an important
meeting. It's mandatory to all.

*offline meet for SY and TY engineering classes: Venue Room no. 1301 *
*Timing 10:30am*

*Online meet for FY MCA: meet link will be shared in group*
*Timing 11am*

Thanks and Regards
-----------------------------------------------------------
*Deepali Rahul Deshpande *
*PhD Research Scholar at Shivaji University,*
*Assistant Professor *
*Assistant Head, Academics *
*Department of Information Technology *
*Vishwakarma Institute of Technology,Bibwewadi,*
*Pune 411037,Maharashtra, India*
*Email ID: deepali.deshpande@vit.edu <deepali.deshpande@vit.edu>  *
*9665095574*
"
